prot_id	ai	hu	ahs	avp	alt_topology	hgt_class	hgt_origins	hgt_donor_origin
FUN_016818-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016819-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016820-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016821-T1	-26.17008321181289	-78.2	-128.72160777141767	NA	-1	-1	NA	NA
FUN_016822-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016823-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016824-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016825-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016826-T1	21.706765318514016	76.3	261.09410524520547	HGT-NT	-1	-1	NA	bacteria
FUN_016827-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016828-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016829-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016830-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016831-T1	49.67105525134624	102.0	9787.469985066076	HGT-NT	-1	3	{"unknown":28}	fungi
FUN_016832-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_33631-T1	-95.24763600163426	-166.0	-3414.7468877958977	NA	-1	-1	NA	NA
FUN_016833-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016834-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016835-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016836-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016837-T1	33.59098699597716	85.1	379.20212537011867	HGT-NT	-1	-1	NA	bacteria
FUN_016838-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016839-T1	-15.978333708583161	-67.8	-347.2334354044994	NA	-1	-1	NA	NA
FUN_016839-T2	-15.074291598785205	-65.9	-367.86285885682685	NA	-1	-1	NA	NA
FUN_016840-T1	24.553708855382133	78.6	152.91992328722938	HGT-NT	-1	-1	NA	bacteria
FUN_016841-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016842-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016843-T1	27.77720362610663	79.7	1748.5049914597842	HGT-NT	-1	-1	NA	fungi
FUN_016844-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016845-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_33632-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016846-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016847-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016848-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016849-T1	-18.12057615150203	-70.5	-70.5	NA	-1	-1	NA	NA
FUN_016850-T1	83.68052120781684	144.0	144.0	HGT-NT	-1	3	{"unknown":5}	bacteria
FUN_016851-T1	33.066304337549745	80.1	165.4571193390431	HGT-NT	-1	-1	NA	bacteria
FUN_016852-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016853-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016854-T1	164.01627206173129	245.0	1490.1018851173687	HGT-NT	-1	3	{"unknown":26}	fungi
FUN_016855-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016856-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016857-T1	-14.00909530703694	-59.3	-59.3	NA	-1	-1	NA	NA
FUN_016858-T1	-42.17382599000534	-52.0	-2911.23012447897	NA	-1	-1	NA	fungi
FUN_016859-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016860-T1	-61.05409078881182	-79.0	-524.472639888479	NA	-1	-1	NA	fungi
FUN_016861-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016862-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016863-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016864-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016865-T1	128.05276716836144	204.0	204.0	HGT-NT	-1	3	{"unknown":35}	eukaryota
FUN_016866-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016867-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016868-T1	43.43430602704684	101.0	101.0	HGT-NT	-1	-1	NA	archaea
FUN_016869-T1	119.24584482087171	183.0	335.7835822055203	HGT-NT	-1	3	{"unknown":1}	fungi
FUN_016870-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016871-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016872-T1	6.046122959645846	8.099999999999994	5398.475525915875	HGT	1	-1	NA	viridiplantae
FUN_016873-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016874-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016875-T1	12.313657856210112	62.4	124.8	HGT-NT	-1	-1	NA	bacteria
FUN_016876-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016877-T1	-138.59671613438726	-216.0	-6284.607356859509	NA	-1	-1	NA	NA
FUN_016878-T1	54.636103800990604	107.0	3256.746727216711	HGT-NT	-1	3	{"bacteria":16,"unknown":5}	bacteria
FUN_016879-T1	206.52462257641042	280.0	15914.607413504338	HGT-NT	-1	3	{"unknown":5}	bacteria
FUN_016880-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016881-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016882-T1	19.464211741038937	28.0	-7700.753233392451	COMPLEX	-1	-1	NA	eukaryota
FUN_016883-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016884-T1	-56.468696002936284	-95.0	-1563.333334923141	NA	-1	-1	NA	bacteria
FUN_016885-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016886-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016887-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016888-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016889-T1	NA	NA	NA	NA	-1	-1	NA	NA
FUN_016890-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016891-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016892-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016893-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016894-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016895-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016896-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016897-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016898-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016899-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016900-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016901-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016902-T1	37.463118672378	94.4	183.3161504145514	COMPLEX	-1	-1	NA	eukaryota
FUN_016903-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016904-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016905-T1	460.51701859880916	1079.0	3208.3377386234133	HGT-NT	-1	3	{"unknown":11}	eukaryota
FUN_016906-T1	62.61879428690567	71.0	1222.0635902523823	HGT	1	3	{"unknown":4}	viruses
FUN_016907-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016908-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016909-T1	11.566326241697343	58.9	58.9	HGT-NT	-1	-1	NA	bacteria
FUN_016910-T1	33.31756178415024	35.900000000000006	1917.6193289773298	HGT	1	-1	NA	bacteria
FUN_016911-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016912-T1	54.81096661249688	119.0	591.3240381549231	HGT-NT	-1	3	{"unknown":24}	bacteria
FUN_016913-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016914-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016915-T1	-23.245251494975832	-68.2	-243.42029862880756	NA	-1	-1	NA	NA
FUN_016916-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016917-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016918-T1	348.8976607476923	446.0	10229.326545301617	HGT-NT	-1	3	{"bacteria":2}	bacteria
FUN_016919-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016920-T1	116.56054637675291	211.0	1572.7515834991977	HGT-NT	-1	3	{"unknown":14}	bacteria
FUN_016921-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016922-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016923-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016924-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016925-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016926-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016927-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016928-T1	-73.98924813606273	-128.0	-1888.2313848281806	NA	-1	-1	NA	NA
FUN_016929-T1	-97.23282254984805	-177.0	-9220.442776953782	NA	-1	-1	NA	NA
FUN_016930-T1	-2.524515787883047	-4.0	22230.295112267682	COMPLEX	-1	-1	NA	viridiplantae
FUN_016931-T1	5.304626535741292	2.0	34175.84849387031	HGT	0	-1	NA	viridiplantae
FUN_016932-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016933-T1	-460.51701859880916	-691.0	-127426.43611256508	NA	-1	-1	NA	NA
FUN_016934-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016935-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016936-T1	153.31768978557363	219.0	219.0	UNKNOWN	-1	1	{"unknown":1}	bacteria
FUN_016937-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016938-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016939-T1	46.72897569128457	110.0	3238.3980256760947	HGT-NT	-1	3	{"unknown":3}	bacteria
FUN_016940-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016941-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016942-T1	-460.51701859880916	-1142.0	-293813.985198892	NA	-1	-1	NA	NA
FUN_016943-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016944-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016945-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016946-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016947-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016948-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016949-T1	-444.03427976481845	-588.0	-157760.3007721691	NA	-1	-1	NA	NA
FUN_016950-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016951-T1	65.97746050094314	134.0	267.3520218930015	HGT-NT	-1	3	{"bacteria":1}	bacteria
FUN_016952-T1	64.21001833936579	130.0	377.3071524324107	HGT-NT	-1	3	{"bacteria":1}	bacteria
FUN_016953-T1	460.51701859880916	713.0	98384.72098609469	HGT-NT	-1	3	{"unknown":9}	bacteria
FUN_016954-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016955-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016957-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016956-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016958-T1	235.50423421583343	343.0	32827.95801616329	HGT-NT	-1	3	{"unknown":11}	eukaryota
FUN_016959-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016960-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016961-T1	98.4983353723153	162.0	13358.152819934183	HGT	0	2	{"unknown":6}	fungi
FUN_016962-T1	NA	NA	NA	NA	-1	-1	NA	NA
FUN_016963-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016964-T1	73.4838721170643	139.0	555.1172280060204	HGT-NT	-1	3	{"unknown":4,"bacteria":1}	bacteria
FUN_016965-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016966-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016967-T1	343.20396239210277	446.0	86826.55956640074	HGT-NT	-1	3	{"unknown":6}	bacteria
FUN_016968-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016969-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016970-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016971-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016972-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016973-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016974-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016975-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016976-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016977-T1	102.75343922958501	176.0	176.0	UNKNOWN	-1	1	{"unknown":1}	bacteria
FUN_016978-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016979-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016980-T1	440.2701769573011	556.0	121204.53524649609	HGT-NT	-1	3	{"unknown":1}	fungi
FUN_016981-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016982-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016983-T1	-33.886451208870994	-94.7	-259.33341873412223	NA	-1	-1	NA	NA
FUN_016984-T1	-0.8760354701545339	-1.0	-136201.2536705523	NA	-1	-1	NA	bacteria
FUN_016985-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016986-T1	-341.3588471922072	-457.0	-37234.61241001038	NA	-1	-1	NA	NA
FUN_016987-T1	164.2865036491444	248.0	18562.897452267327	HGT	0	2	{"fungi":4}	fungi
FUN_016987-T2	145.84156592754647	223.0	11474.758939335483	HGT	0	2	{"fungi":4}	fungi
FUN_016988-T1	107.47956202599077	176.0	4092.522630727536	HGT-NT	-1	3	{"eukaryota":2}	fungi
FUN_016989-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016990-T1	-425.8384802615233	-555.0	-96786.32205447991	NA	-1	-1	NA	NA
FUN_016991-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016992-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016993-T1	81.11811099687397	145.0	2141.2719832067073	HGT-NT	-1	3	{"unknown":13}	bacteria
FUN_016994-T1	173.98850914714748	259.0	2021.580590139835	HGT-NT	-1	3	{"unknown":1}	viridiplantae
FUN_016995-T1	67.56381348213336	76.5	1526.1224373414059	HGT	0	2	{"fungi":2}	fungi
FUN_016996-T1	169.57151705006606	242.0	4512.726901507921	HGT-NT	-1	3	{"unknown":7}	bacteria
FUN_016998-T1	113.39230341696923	165.0	24503.783344898064	HGT-NT	-1	3	{"unknown":13,"bacteria":29}	bacteria
FUN_016999-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017001-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017000-T1	176.63122278796587	252.0	283.61061177188793	HGT-NT	-1	3	{"unknown":36}	eukaryota
FUN_017002-T1	384.3165991503887	498.0	797.5978784049579	HGT-NT	-1	3	{"unknown":16}	bacteria
FUN_017003-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017004-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017005-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017007-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017010-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017012-T1	24.945443770678395	28.0	20886.871904160238	HGT-NT	-1	-1	NA	bacteria
FUN_017013-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017014-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017015-T1	18.225881665647307	20.0	-656.6225877954275	HGT	0	-1	NA	bacteria
FUN_017016-T1	-111.30715635180212	-175.0	-36703.867365162274	NA	-1	-1	NA	NA
FUN_017017-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017018-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017020-T1	-18.693802665072816	-72.4	-178.99822415584086	NA	-1	-1	NA	NA
FUN_017021-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017022-T1	287.74617558311957	379.0	64549.680838003085	HGT-NT	-1	3	{"fungi":51,"unknown":2}	fungi
FUN_017023-T1	NA	NA	NA	NA	-1	-1	NA	NA
FUN_017024-T1	102.94338471148963	168.0	678.1841368939839	HGT-NT	-1	3	{"unknown":11}	eukaryota
FUN_017025-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017026-T1	15.29392020799197	58.9	335.69621742372146	HGT-NT	-1	-1	NA	bacteria
FUN_017028-T1	32.94815854180336	37.3	7309.688978295638	HGT	1	-1	NA	bacteria
FUN_017027-T1	-2.078043917413197	-4.0	-912.2708384320467	NA	-1	-1	NA	eukaryota
FUN_017029-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017030-T1	12.251070011460909	55.5	79.09334680563731	HGT-NT	-1	-1	NA	bacteria
FUN_017031-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017032-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017033-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017034-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017035-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017036-T1	-18.534969890354493	-61.6	-390.1463457271883	NA	-1	-1	NA	NA
FUN_017037-T1	-20.304555502088228	-68.9	-193.13864350165062	NA	-1	-1	NA	NA
FUN_017038-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017039-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017040-T1	55.483936563770875	110.0	200.04531515211949	HGT-NT	-1	3	{"unknown":8}	bacteria
FUN_017041-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017042-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017043-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017044-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017045-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017046-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017047-T1	402.7090450153263	904.0	-546.3203339562722	HGT	1	-1	NA	eukaryota
FUN_017048-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017049-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017050-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017051-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017052-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017053-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017054-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017055-T1	-113.02756249908762	-177.0	-36061.17459223895	NA	-1	-1	NA	NA
FUN_017056-T1	22.54671481713143	25.0	-4855.232686886062	HGT	0	-1	NA	bacteria
FUN_017057-T1	110.08582953278304	165.0	4125.633707054805	HGT-NT	-1	3	{"bacteria":9,"unknown":8}	bacteria
FUN_017058-T1	415.81239038689483	543.0	19339.0816968329	HGT-NT	-1	3	{"unknown":8}	bacteria
FUN_017059-T1	108.84698790280628	171.0	4517.650939610709	HGT-NT	-1	3	{"unknown":3}	fungi
FUN_017060-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017061-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017062-T1	53.50074197011375	103.0	27169.331208820917	HGT-NT	-1	3	{"fungi":18,"unknown":5}	fungi
FUN_017063-T1	12.480149065926184	13.0	4443.015225161078	HGT	0	-1	NA	fungi
FUN_017064-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017065-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017066-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017067-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017068-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017069-T1	64.84919245618107	67.0	-9705.954695470547	COMPLEX	-1	-1	NA	eukaryota
FUN_017070-T1	155.6675277634182	236.0	20330.999016199574	HGT-NT	-1	3	{"unknown":1}	fungi
FUN_017071-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017072-T1	28.764224849366276	84.7	228.98391659166677	HGT-NT	-1	-1	NA	bacteria
FUN_017073-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017074-T1	377.361590986556	473.0	16889.504574977662	HGT-NT	-1	3	{"fungi":1}	fungi
FUN_017075-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017076-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017077-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017078-T1	8.679712120914019	11.0	718.5819289768365	HGT	0	-1	NA	fungi
FUN_017079-T1	21.775968424310435	26.0	1758.888642743303	HGT	0	-1	NA	fungi
FUN_017080-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017081-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017082-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017083-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017084-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017085-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017086-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017087-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017088-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017089-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017090-T1	15.952356106760497	19.799999999999997	339.18566804744125	HGT	0	-1	NA	fungi
FUN_017091-T1	-3.6309621840408113	-5.0	-387.02853576507266	NA	-1	-1	NA	fungi
FUN_017092-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017093-T1	4.568420643779348	5.0	1179.6251672597132	COMPLEX	-1	-1	NA	fungi
FUN_017094-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017095-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017095-T2	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017096-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017097-T1	77.03513019330218	151.0	418.49236129188847	HGT-NT	-1	3	{"unknown":7}	bacteria
FUN_017098-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017099-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_017100-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
